record_id,vessel_name,vessel_type,dwt,voyage_group,voyage_leg,condition,departure_date,arrival_date,origin_port,destination_port,reported_distance_nm,reported_speed_knots,calendar_elapsed_days,implied_sea_days_from_reported_distance_speed,reported_cargo_tonnes,reported_pair_hfo_tonnes,reported_pair_do_tonnes,reported_pair_total_fuel_tonnes,reported_pair_distance_nm,fuel_scope,model_origin_port,model_destination_port,actual_freight_rate_per_tonne,actual_port_costs,actual_voyage_profit,actual_tce_per_day,route_source_title,route_source_url,fuel_source_title,fuel_source_url,source_access,data_quality_note
NSUJ-15A,M/V NSU JUSTICE,Bulk carrier,250000,15,15A,Ballast,2015-10-03,2015-10-13,"Kisarazu, Japan","Port Walcott, Australia",3542,15.1,10.0,9.774,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,,,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-15B,M/V NSU JUSTICE,Bulk carrier,250000,15,15B,Cargo,2015-10-19,2015-11-09,"Port Walcott, Australia","Nagoya, Japan",3754,12.75,21.0,12.268,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,,,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-16A,M/V NSU JUSTICE,Bulk carrier,250000,16,16A,Ballast,2015-11-13,2015-11-24,"Nagoya, Japan","Port Walcott, Australia",3466,13.1,11.0,11.024,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,"Optimization of the Energy Efficiency Operational Indicator for M/V NSU JUSTICE 250,000 DWT by Grey Relational Analysis Method in Vietnam",https://www.fortunejournals.com/articles/optimization-of-the-energy-efficiency-operational-indicator-for-mv-nsu-justice-250000-dwt-by-grey-relational-analysis-method-in-vietnam.pdf,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-16B,M/V NSU JUSTICE,Bulk carrier,250000,16,16B,Cargo,2015-12-07,2016-01-01,"Port Walcott, Australia","Muroran, Japan",4122,12.55,25.0,13.685,247400,1485.773,15.3,1501.073,7588,Voyage pair A+B; value stored once on B leg,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,"Optimization of the Energy Efficiency Operational Indicator for M/V NSU JUSTICE 250,000 DWT by Grey Relational Analysis Method in Vietnam",https://www.fortunejournals.com/articles/optimization-of-the-energy-efficiency-operational-indicator-for-mv-nsu-justice-250000-dwt-by-grey-relational-analysis-method-in-vietnam.pdf,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-17A,M/V NSU JUSTICE,Bulk carrier,250000,17,17A,Ballast,2016-01-04,2016-01-15,"Muroran, Japan","Port Walcott, Australia",4101,15.3,11.0,11.168,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,"Optimization of the Energy Efficiency Operational Indicator for M/V NSU JUSTICE 250,000 DWT by Grey Relational Analysis Method in Vietnam",https://www.fortunejournals.com/articles/optimization-of-the-energy-efficiency-operational-indicator-for-mv-nsu-justice-250000-dwt-by-grey-relational-analysis-method-in-vietnam.pdf,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-17B,M/V NSU JUSTICE,Bulk carrier,250000,17,17B,Cargo,2016-01-23,2016-02-09,"Port Walcott, Australia","Nagoya, Japan",3736,12.3,17.0,12.656,247500,1663.1,13.3,1676.4,7837,Voyage pair A+B; value stored once on B leg,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,"Optimization of the Energy Efficiency Operational Indicator for M/V NSU JUSTICE 250,000 DWT by Grey Relational Analysis Method in Vietnam",https://www.fortunejournals.com/articles/optimization-of-the-energy-efficiency-operational-indicator-for-mv-nsu-justice-250000-dwt-by-grey-relational-analysis-method-in-vietnam.pdf,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-18A,M/V NSU JUSTICE,Bulk carrier,250000,18,18A,Ballast,2016-02-16,2016-03-22,"Nagoya, Japan","Ponta da Madeira, Brazil",12183,15.1,35.0,33.618,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,"Optimization of the Energy Efficiency Operational Indicator for M/V NSU JUSTICE 250,000 DWT by Grey Relational Analysis Method in Vietnam",https://www.fortunejournals.com/articles/optimization-of-the-energy-efficiency-operational-indicator-for-mv-nsu-justice-250000-dwt-by-grey-relational-analysis-method-in-vietnam.pdf,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-18B,M/V NSU JUSTICE,Bulk carrier,250000,18,18B,Cargo,2016-04-08,2016-06-05,"Ponta da Madeira, Brazil","Tobata, Japan",12286,13.8,58.0,37.095,246200,5434.67,27.6,5462.27,24469,Voyage pair A+B; value stored once on B leg,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,"Optimization of the Energy Efficiency Operational Indicator for M/V NSU JUSTICE 250,000 DWT by Grey Relational Analysis Method in Vietnam",https://www.fortunejournals.com/articles/optimization-of-the-energy-efficiency-operational-indicator-for-mv-nsu-justice-250000-dwt-by-grey-relational-analysis-method-in-vietnam.pdf,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-19A,M/V NSU JUSTICE,Bulk carrier,250000,19,19A,Ballast,2016-06-16,2016-06-26,"Tobata, Japan","Port Walcott, Australia",3456,15.0,10.0,9.6,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,"Optimization of the Energy Efficiency Operational Indicator for M/V NSU JUSTICE 250,000 DWT by Grey Relational Analysis Method in Vietnam",https://www.fortunejournals.com/articles/optimization-of-the-energy-efficiency-operational-indicator-for-mv-nsu-justice-250000-dwt-by-grey-relational-analysis-method-in-vietnam.pdf,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-19B,M/V NSU JUSTICE,Bulk carrier,250000,19,19B,Cargo,2016-07-02,2016-07-24,"Port Walcott, Australia","Tobata, Japan",4010,14.5,22.0,11.523,246876,1680.941,17.1,1698.041,7466,Voyage pair A+B; value stored once on B leg,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,"Optimization of the Energy Efficiency Operational Indicator for M/V NSU JUSTICE 250,000 DWT by Grey Relational Analysis Method in Vietnam",https://www.fortunejournals.com/articles/optimization-of-the-energy-efficiency-operational-indicator-for-mv-nsu-justice-250000-dwt-by-grey-relational-analysis-method-in-vietnam.pdf,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-20A,M/V NSU JUSTICE,Bulk carrier,250000,20,20A,Ballast,2016-07-31,2016-08-10,"Tobata, Japan","Port Walcott, Australia",3457,15.0,10.0,9.603,,,,,,,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,"Optimization of the Energy Efficiency Operational Indicator for M/V NSU JUSTICE 250,000 DWT by Grey Relational Analysis Method in Vietnam",https://www.fortunejournals.com/articles/optimization-of-the-energy-efficiency-operational-indicator-for-mv-nsu-justice-250000-dwt-by-grey-relational-analysis-method-in-vietnam.pdf,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
NSUJ-20B,M/V NSU JUSTICE,Bulk carrier,250000,20,20B,Cargo,2016-08-13,2016-09-06,"Port Walcott, Australia","Nagoya, Japan",3699,13.4,24.0,11.502,246800,1479.477,13.2,1492.677,7156,Voyage pair A+B; value stored once on B leg,,,,,,,Comparative analysis on the fuel consumption prediction model for bulk carriers from ship launching to current states based on sea trial data and machine learning technique,https://doi.org/10.1016/j.joes.2021.02.005,"Optimization of the Energy Efficiency Operational Indicator for M/V NSU JUSTICE 250,000 DWT by Grey Relational Analysis Method in Vietnam",https://www.fortunejournals.com/articles/optimization-of-the-energy-efficiency-operational-indicator-for-mv-nsu-justice-250000-dwt-by-grey-relational-analysis-method-in-vietnam.pdf,Open-access published research,Published actual operational/noon-log data. Blank fields were not reported in the cited source and have not been inferred.
